"iso_code","YearMonth","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","testing_policy","contact_tracing","containment_index","vaccination_policy","debt_relief","close_public_transport","school_closures","stay_home_requirements","transit_stations","workplace_closures","workplaces","facial_coverings","income_support","restrictions_internal_movements","public_information_campaigns","cancel_public_events","restriction_gatherings","CCI","CCIChange","CCINorm"
"DEU",202101,2017918,15004.4838709677,16344.9907741935,46066.7096774194,753.935483870968,771.543774193548,24084.7814516129,179.085483870968,195.085,549.82735483871,8.99854838709677,9.20883870967742,5030.54838709677,60.042,0,0,0,0,1023.28041935484,12.2133225806452,1118207.38709677,140393.774193548,75583.5806451613,71767.4193548387,1.50290322580645,1.33483870967742,0.166129032258065,856.548387096774,83.5112903225806,1,1.12903225806452,71.2864516129032,2,0,1,3,2,-50.5161290322581,3,-35.5161290322581,2,2,1.87096774193548,2,2,4,99.03716,-0.125529999999998,-1.53944
"DEU",202102,2345023.39285714,8022.71428571429,8305.83157142857,65161.1785714286,463.892857142857,500.831642857143,27988.935,95.7548928571429,99.1338928571429,777.728714285714,5.53675,5.97764285714286,3476.82142857143,41.4974285714286,0,0,0,0,519.217964285714,6.19710714285714,2930188.42857143,1478513.21428571,134867.571428571,127235.464285714,5.26178571428571,3.49714285714286,1.76392857142857,1518.60714285714,82.8675,1,1,70.6678571428571,2.17857142857143,0,1,3,2,-43.4235,3,-26.4948571428571,2,2,2,2,2,4,99.23563,0.19847,-1.34097
"DEU",202103,2621867.19354839,12688.6774193548,11778.1520645161,73851.5483870968,207.645161290323,214.949258064516,31293.1934516129,151.445322580645,140.577580645161,881.452258064516,2.47841935483871,2.56561290322581,2999.35483870968,35.7986774193548,0,0,0,0,477.81035483871,5.70287096774194,6985202.61290323,3144070.51612903,253095.193548387,238596.64516129,12.0896774193548,8.33677419354839,3.75290322580645,2847.77419354839,76.7038709677419,1.7741935483871,1,69.7235483870968,3,0,1,3,2,-34.7143870967742,2,-18.8616451612903,2,2,1.61290322580645,2,2,4,99.64685,0.41122,-0.929749999999999
"DEU",202104,3117102.66666667,18724.0333333333,18465.3714,79699.8333333333,216.933333333333,207.985766666667,37204.0570333333,223.479833333333,220.392666666667,951.254366666667,2.58916666666667,2.48236666666667,4651.96666666667,55.5233333333333,0,0,0,0,608.650566666667,7.26453333333333,15698738.3666667,5376080.36666667,516400.666666667,464184.8,25.1536666666667,18.737,6.416,5540.26666666667,75,3,1,71.55,3,0,1,3,2,-34.9761666666667,2,-23.4761333333333,2,2,1,2,2,4,100.0247,0.377849999999995,-0.551900000000003
"DNK",202002,0.178571428571429,0.107142857142857,0,0,0,0,0.0308571428571429,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19035714285714,0,0.103448275862069,1.10793103448276,0,0,0,0,0,-0.906769230769231,0,-1.50892307692308,0,0,0,0.206896551724138,0,0,100.4552,0,0
"DNK",202003,1055.54838709677,97.9354838709677,77.4009032258064,17.4838709677419,2.90322580645161,1.9861935483871,182.236193548387,16.908064516129,13.3629677419355,3.01858064516129,0.501258064516129,0.342935483870968,0,0,0,0,0,0,33.2760322580645,5.74496774193548,0,0,0,0,0,0,0,0,52.6274193548387,0.67741935483871,1,41.32,0,0,0.709677419354839,1.83870967741935,0.935483870967742,-29.9724838709677,1.12903225806452,-23.2535161290323,0,1.48387096774194,0.612903225806452,2,0.838709677419355,2.29032258064516,99.91025,-0.54495,-0.54495
"DNK",202004,6784.9,210.566666666667,216.7715,303.1,12.0666666666667,12.2286333333333,1171.38506666667,36.3534666666667,37.4247333333333,52.3289333333333,2.08323333333333,2.11113333333333,0,0,0,0,0,0,33.5563,5.79333333333333,0,0,0,0,0,0,0,0,70.2466666666667,1.36666666666667,1,58.1713333333333,0,0.866666666666667,1,2.46666666666667,1,-50.8333666666667,2,-43.7238,0,2,1,2,1,4,99.47523,-0.435020000000009,-0.979970000000009
"DNK",202005,10929.7419354839,81.0645161290323,91.1014516129032,536.741935483871,3.93548387096774,4.48393548387097,1886.97503225806,13.9954193548387,15.7282580645161,92.6663225806452,0.679548387096774,0.774193548387097,13.7741935483871,2.37809677419355,70.7096774193548,12.2076774193548,0,0,13.2526451612903,2.28796774193548,0,0,0,0,0,0,0,0,66.1009677419355,2.64516129032258,1,57.121935483871,0,2,1,2,1,-34.4700322580645,2,-27.2488709677419,0,2,0.67741935483871,2,1,4,99.56355,0.0883200000000102,-0.891649999999998
"DNK",202006,12445.6,36.6333333333333,38.5475,595.566666666667,1.03333333333333,1.21903333333333,2148.6816,6.3246,6.65506666666667,102.822166666667,0.178466666666667,0.210466666666667,9.7,1.67473333333333,44.7,7.71733333333333,0,0,3.9127,0.6755,0,0,0,0,0,0,0,0,58.0586666666667,3,1,52.7976666666667,0,2,1,2,1,-17.1524,2,-14.7095,0,2,0,2,1,3.23333333333333,99.87437,0.310819999999993,-0.580830000000006
"DNK",202007,13377.1612903226,34.1935483870968,30.2258709677419,610.258064516129,0.32258064516129,0.313645161290323,2309.51174193548,5.90341935483871,5.21838709677419,105.358483870968,0.0557741935483871,0.0540322580645161,4.70967741935484,0.813161290322581,19.8387096774194,3.42516129032258,0,0,2.43877419354839,0.421032258064516,0,0,0,0,0,0,0,0,57.41,3,1,51.328064516129,0,2,1,2,1,-14.6498064516129,2,-33.2441935483871,0.741935483870968,2,0,2,1,3,100.0323,0.157930000000007,-0.422899999999998
"DNK",202008,15831.9032258065,109.096774193548,107.004612903226,620.322580645161,0.290322580645161,0.322677419354839,2733.31287096774,18.8350967741935,18.4739032258065,107.096129032258,0.0501935483870968,0.0556451612903226,1.90322580645161,0.328612903225806,19.5806451612903,3.38058064516129,0,0,3.97903225806452,0.686967741935484,0,0,0,0,0,0,0,0,51.1087096774194,3,1,48.3090322580645,0,2,1,1,1,-12.083,2,-22.2073870967742,1.32258064516129,2,0,2,1,2.06451612903226,100.0256,-0.00670000000000925,-0.429600000000008
"DNK",202009,21939.4666666667,368.966666666667,329.7191,635.5,0.866666666666667,0.819133333333333,3787.7586,63.7006333333333,56.9245,109.7165,0.1497,0.1414,7.73333333333333,1.33526666666667,57.0666666666667,9.85223333333333,0,0,9.98066666666667,1.7231,0,0,0,0,0,0,0,0,49.85,3,1,48.7066666666667,0,2,1,1,1,-16.5047666666667,2,-14.3047666666667,2,2,0,2,1,2.73333333333333,100.0274,0.00180000000000291,-0.427800000000005
"DNK",202010,36007.8064516129,593.032258064516,539.465451612903,682.064516129032,2.29032258064516,2.08287096774194,6216.59951612903,102.384612903226,93.1364516129032,117.755548387097,0.395451612903226,0.359677419354839,17.1290322580645,2.95729032258065,119.064516129032,20.5560322580645,0,0,15.5951290322581,2.69245161290323,0,0,0,0,0,0,0,0,43.2516129032258,3,1,44.468064516129,0,2,0.290322580645161,0.645161290322581,0.645161290322581,-23.3963548387097,1.29032258064516,-17.0553548387097,2,1.64516129032258,0,2,1,2.83870967741935,100.0489,0.0215000000000032,-0.406300000000002
"DNK",202011,63895,1137.96666666667,1118.47136666667,768.6,3.86666666666667,3.45246666666667,11031.2088,196.465366666667,193.099466666667,132.695566666667,0.667633333333333,0.596066666666667,36.5666666666667,6.313,227.466666666667,39.2711666666667,0,0,41.9122,7.23593333333333,0,0,0,0,0,0,0,0,46.2643333333333,3,1,46.884,0,2,0,1.06666666666667,0.6,-31.0761333333333,1,-14.2857333333333,2,2,0.333333333333333,2,1,4,100.083,0.0340999999999951,-0.372200000000007
"DNK",202012,121533.548387097,2681.09677419355,2562.07374193548,1010.41935483871,14.8709677419355,12.5806451612903,20982.2667419355,462.880258064516,442.331451612903,174.444741935484,2.56748387096774,2.172,72.4193548387097,12.502935483871,536.903225806452,92.6941290322581,0,0,82.3076774193548,14.2100967741935,3055.16129032258,0,905.838709677419,702.548387096774,0.0525806451612903,0.0525806451612903,0,121.258064516129,50.1777419354839,3,1,51.7651612903226,0.32258064516129,2,0,1.74193548387097,1,-42.1520322580645,1.74193548387097,-30.6267419354839,2,2,0,2,1.74193548387097,4,100.27,0.186999999999998,-0.185200000000009
"DNK",202101,186621.612903226,1130.32258064516,1322.03229032258,1742.45161290323,26.7096774193548,27.8248709677419,32219.4531290323,195.145483870968,228.243451612903,300.827096774194,4.61132258064516,4.80383870967742,128.258064516129,22.1431612903226,791.806451612903,136.702161290323,0,0,115.006129032258,19.8553548387097,138240.451612903,14878.2258064516,7659.93548387097,7145.48387096774,2.64322580645161,2.38709677419355,0.257096774193548,1233.58064516129,68.1293548387097,3,1,67.1312903225806,3,0.903225806451613,0,2.90322580645161,1,-54.341,2.90322580645161,-40.3916129032258,2,2,0,2,2,4,100.4059,0.135900000000007,-0.0493000000000023
"DNK",202102,205521.071428571,454.535714285714,450.459107142857,2280.53571428571,8.42857142857143,10.0917857142857,35482.3668571429,78.4737857142857,77.7699285714286,393.725071428571,1.45514285714286,1.74221428571429,64.4642857142857,11.1295,327.357142857143,56.5169285714286,0,0,28.8122857142857,4.97435714285714,266515.928571429,157379.571428571,12131.7142857143,11661.4642857143,7.31821428571429,4.60107142857143,2.7175,2013.32142857143,66.4025,3,1,66.02,3,0,0,2.25,1,-48.41325,2.67857142857143,-32.7294285714286,2,2,0,2,2,4,100.5669,0.161000000000001,0.111699999999999
"DNK",202103,221964.129032258,626.193548387097,595.764967741935,2394.1935483871,1.87096774193548,2.04612903225806,38321.193,108.109838709677,102.856387096774,413.347580645161,0.323032258064516,0.353290322580645,39.8064516129032,6.87241935483871,212.483870967742,36.6845161290323,0,0,24.227064516129,4.18267741935484,598869.870967742,278462.419354839,16790.7419354839,16331.9677419355,15.1467741935484,10.3390322580645,4.80741935483871,2819.61290322581,63.1390322580645,3,1,63.9251612903226,3,0,0,2.09677419354839,1,-41.3318709677419,2,-24.3917741935484,2,2,0,2,2,4,100.9108,0.343899999999991,0.45559999999999
"DNK",202104,241657.833333333,665.133333333333,695.619033333333,2453.5,2.13333333333333,2.16186666666667,41721.2299333333,114.8326,120.0957,423.586533333333,0.368333333333333,0.373333333333333,38.0333333333333,6.5663,198.033333333333,34.1895666666667,0,0,26.792,4.62553333333333,1023584.7,500721.133333333,28697.9333333333,27326.2,26.316,17.6716666666667,8.645,4717.66666666667,62.0333333333333,3,1,63.2133333333333,3,0,0,3,1,-34.5428333333333,2,-26.1095333333333,2,2,0,2,1.66666666666667,4,101.4537,0.542900000000003,0.998499999999993
"ESP",202002,5.20689655172414,1.55172413793103,0.541896551724138,0,0,0,0.111344827586207,0.0332068965517241,0.0115862068965517,0,0,0,0,0,0,0,2.11186206896552,0.0451724137931034,12.9775517241379,0.277551724137931,0,0,0,0,0,0,0,0,11.11,1,1.79310344827586,15.9313793103448,0,0,0,0,0,5.55638461538462,0,0.356615384615385,0,0,0,2,0,0,100.1765,0,0
"ESP",202003,23953.0967741935,3092.83870967742,2350.82480645161,1760.61290322581,273.032258064516,194.078419354839,512.313322580645,66.1501612903226,50.279935483871,37.6563870967742,5.83961290322581,4.15096774193548,0,0,0,0,255.583225806452,5.46645161290323,2607.35696774194,55.7666451612903,0,0,0,0,0,0,0,0,51.7322580645161,1,1,40.2077419354839,0,0.516129032258065,0.580645161290323,2.2258064516129,1.16129032258065,-38.7281612903226,1.38709677419355,-30.3134838709677,0,0.903225806451613,0.741935483870968,2,1.41935483870968,0.903225806451613,98.84605,-1.33045,-1.33045
"ESP",202004,174559.233333333,3917.06666666667,4537.5,18272,535.966666666667,584.104766666667,3733.5053,83.7789333333333,97.0489333333333,390.804866666667,11.4633333333333,12.493,0,0,0,0,39.2153333333333,0.838766666666667,806.071333333333,17.2403666666667,0,0,0,0,0,0,0,0,85.19,1.2,1,63.576,0,2,1,3,2,-83.2618333333333,3,-69.3476,0,2,1,2,2,4,96.82571,-2.02034,-3.35079
"ESP",202005,229117.838709677,840.129032258065,921.54835483871,26931.6129032258,83.3548387096774,114.207322580645,4900.41493548387,17.9688709677419,19.7101935483871,576.018322580645,1.78287096774194,2.44258064516129,0,0,0,0,5.863,0.12541935483871,104.960870967742,2.24496774193548,0,0,0,0,0,0,0,0,78.5838709677419,1.61290322580645,1,64.1696774193548,0,2,1,2.80645161290323,1.83870967741935,-59.6451290322581,2.67741935483871,-50.5576774193548,2.16129032258065,1.7741935483871,1,2,2,4,95.78784,-1.03787,-4.38866
"ESP",202006,244373.066666667,326.4,356.485733333333,27613.5,40.9333333333333,42.0000666666667,5226.6966,6.98116666666667,7.6246,590.6027,0.8754,0.898266666666667,0,0,0,0,2.23896666666667,0.0478666666666667,29.6337666666667,0.633833333333333,0,0,0,0,0,0,0,0,54.1673333333333,2,1,50.895,0,2,0.233333333333333,2,0.666666666666667,-37.7952333333333,1.23333333333333,-28.5951666666667,3,2,0.666666666666667,2,2,2.66666666666667,95.63286,-0.154980000000009,-4.54364000000001
"ESP",202007,262396.451612903,1266.16129032258,1027.05064516129,28412.0322580645,2.90322580645161,3.14745161290323,5612.18416129032,27.0809032258065,21.9667096774194,607.681935483871,0.0621935483870968,0.0674193548387097,0,0,0,0,5.92677419354839,0.126774193548387,74.3711935483871,1.59067741935484,0,0,0,0,0,0,0,0,59.4803225806452,2,1,54.3109677419355,0,2,0,2,1.45161290322581,-29.5253225806452,1.54838709677419,-21.8525161290323,3,2,1.80645161290323,2,2,3.80645161290323,95.64354,0.0106800000000078,-4.53296
"ESP",202008,359969.129032258,5623.74193548387,4985.24432258065,28706.1290322581,20.9354838709677,18.2258064516129,7699.08674193548,120.281612903226,106.62535483871,613.972129032258,0.447677419354839,0.389806451612903,174.41935483871,3.73054838709677,1471.90322580645,31.4813548387097,49.4214838709677,1.05703225806452,553.705290322581,11.8427741935484,0,0,0,0,0,0,0,0,62.7983870967742,2,1,56.441935483871,0,2,0,2,1.29032258064516,-35.2580967741935,2,-29.0414838709677,3,2,2,2,2,4,95.57144,-0.072100000000006,-4.60506000000001
"ESP",202009,610542,10211,9889.27136666667,30250.8333333333,89.9,78.1381333333333,13058.3860333333,218.394766666667,211.5136,647.010533333333,1.92283333333333,1.6712,910.9,19.4824333333333,6867.16666666667,146.876233333333,63.6138,1.3606,785.195933333333,16.7939333333333,0,0,0,0,0,0,0,0,61.02,2,1,55.298,0,2,0,2,1,-29.7190666666667,2,-23.0571666666667,3,2,2,2,2,4,95.62628,0.0548399999999987,-4.55022000000001
"ESP",202010,951441.709677419,13435.1612903226,12948.2026774194,33746.2258064516,131.838709677419,131.405516129032,20349.6125483871,287.353677419355,276.938483870968,721.770483870968,2.81983870967742,2.81051612903226,1311.64516129032,28.0536451612903,9196.09677419355,196.687806451613,87.4992580645161,1.87141935483871,946.591612903226,20.2459032258065,0,0,0,0,0,0,0,0,64.6661290322581,2,1,58.7370967741935,0,2,0,2.16129032258065,1.2258064516129,-24.6774838709677,2,-19.0323225806452,3.61290322580645,2,2,2,2,4,95.64561,0.0193300000000107,-4.53089
"ESP",202011,1464426.1,15416.9666666667,16290.2095333333,41090.2333333333,306.366666666667,300.999966666667,31321.4180333333,329.740933333333,348.418033333333,878.845433333333,6.55263333333333,6.43786666666667,2056.1,43.9762333333333,13186.9333333333,282.044633333333,110.7315,2.36836666666667,1210.30873333333,25.8863,0,0,0,0,0,0,0,0,71.3,2,1,63.69,0,2,0,1,2,-30.2238333333333,2,-21.2238,4,2,2,2,2,4,95.73862,0.0930099999999925,-4.43788000000001
"ESP",202012,1776379.29032258,9034.77419354839,8415.55296774194,48291.7741935484,186.064516129032,186.221225806452,37993.5309032258,193.237419354839,179.993548387097,1032.87338709677,3.97964516129032,3.98283870967742,1355.29032258065,28.9871935483871,7716.8064516129,165.048548387097,59.1719677419355,1.26558064516129,599.334870967742,12.8187096774194,0,0,0,0,0,0,0,0,73.4483870967742,2,1,65.5332258064516,0.32258064516129,2,0,1.58064516129032,2,-30.0829677419355,2,-25.824935483871,4,2,2,2,2,4,96.15033,0.411709999999999,-4.02617000000001
"ESP",202101,2296154.38709677,26285.6129032258,26043.355,53922.6451612903,241.354838709677,237.299516129032,49110.5773548387,562.201548387097,557.020161290323,1153.30758064516,5.16216129032258,5.07545161290323,2039.87096774194,43.6291612903226,13814.3225806452,295.463290322581,202.497387096774,4.33103225806452,2051.67606451613,43.8816451612903,510293.903225806,42993.1612903226,32080.5161290323,49077.6774193548,1.18258064516129,1.09129032258065,0.0916129032258065,1049.8064516129,72.7322580645161,2,1,67.4712903225806,2,2,0,1.38709677419355,2,-39.4930967741935,2,-33.6543548387097,4,2,2,2,2,4,96.49915,0.348820000000003,-3.67735
"ESP",202102,3056001.35714286,15908.3571428571,17368.6684642857,64925.25,386.535714285714,394.724571428571,65362.3257142857,340.250928571429,371.484214285714,1388.63325,8.26739285714286,8.44239285714286,2836.64285714286,60.6705357142857,15071.1428571429,322.344535714286,64.6298214285714,1.38232142857143,661.079892857143,14.1392857142857,1176297.35714286,700389.285714286,56664.2142857143,74214.4285714286,4.01357142857143,2.51535714285714,1.4975,1587.28571428571,70.3071428571428,2,1,65.9107142857143,2,2,0,1,2,-34.8418214285714,2,-24.6326785714286,4,2,2,2,2,4,97.08252,0.583370000000002,-3.09398
"ESP",202103,3202600.93548387,3090.32258064516,2823.91241935484,72691,203.774193548387,207.331806451613,68497.8250322581,66.0963548387097,60.3983548387097,1554.72867741935,4.35835483870968,4.43441935483871,1257.38709677419,26.8932580645161,5036.29032258064,107.717129032258,48.5611290322581,1.03864516129032,386.067387096774,8.25729032258065,2662035.48387097,1259997.25806452,91623.8709677419,125036.322580645,8.38870967741935,5.69354838709677,2.69548387096774,2674.35483870968,68.7264516129032,2,1,64.8967741935484,2,2,0,1,2,-26.3501935483871,2,-19.1705161290323,4,2,2,2,2,4,98.35349,1.27096999999999,-1.82301000000001
"ESP",202104,3398873.26666667,7990.8,7718.7999,76825.7333333333,91.9,93.3381666666667,72695.734,170.908666666667,165.091166666667,1643.16316666667,1.96556666666667,1.9963,0,0,0,0,49.9164333333333,1.06763333333333,469.958533333333,10.0515666666667,6364909.36666667,2526158.76666667,213406.666666667,269289.166666667,18.995,13.6133333333333,5.40266666666667,5759.56666666667,68.515,2,1,64.765,2,2,0,1,2,-25.7047333333333,1.5,-21.7523333333333,4,2,2,2,2,4,99.90071,1.54722000000001,-0.275790000000001
"EST",202002,0.12,0.04,0,0,0,0,0.09048,0.03016,0,0,0,0,0,0,0.2,0.1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639846153846154,0,-7.66815384615385,0,0,0,0,0,0,103.0642,0,0
"EST",202003,237.096774193548,24,19.7972903225806,0.451612903225806,0.129032258064516,0.0645483870967742,178.733290322581,18.0921935483871,14.9239032258065,0.340483870967742,0.0972903225806452,0.0486774193548387,3.25806451612903,2.45606451612903,23.9032258064516,18.0193870967742,1.67435483870968,1.2621935483871,3.67067741935484,2.76709677419355,0,0,0,0,0,0,0,0,34.2290322580645,0.645161290322581,0,25.0751612903226,0,0.612903225806452,0,1.54838709677419,0.193548387096774,-18.5115161290323,0.483870967741935,-19.8433548387097,0,2,1.16129032258065,1.29032258064516,1.29032258064516,0.903225806451613,101.8436,-1.2206,-1.2206
"EST",202004,1369.16666666667,31.4666666666667,34.4952,32.6,1.6,1.56666666666667,1032.13453333333,23.7208666666667,26.0039,24.5752333333333,1.2063,1.18103333333333,12,9.046,117.366666666667,88.4758,0.266166666666667,0.200666666666667,7.61936666666667,5.74376666666667,0,0,0,0,0,0,0,0,77.4093333333333,1.76666666666667,0,60.79,0,1.13333333333333,0,3,2,-43.9381666666667,3,-44.7858333333333,0,2,2,2,2,4,100.1603,-1.68329999999999,-2.90389999999999
"EST",202005,1774.35483870968,5.80645161290323,6.43787096774194,61.3870967741936,0.516129032258065,0.557645161290323,1337.58203225806,4.37716129032258,4.85303225806452,46.2760967741935,0.389129032258065,0.420290322580645,5.48387096774194,4.13396774193548,44.3870967741936,33.4608709677419,0.643967741935484,0.48541935483871,2.31829032258065,1.74761290322581,0,0,0,0,0,0,0,0,59.4687096774194,2,0,51.5158064516129,0,2,0,1.90322580645161,1.09677419354839,-23.8432903225806,2.32258064516129,-31.3456129032258,0.774193548387097,2,0.451612903225806,2,2,4,99.1568,-1.0035,-3.9074
"EST",202006,1957.5,4,4.57136666666667,68.9333333333333,0.0333333333333333,0.0905666666666667,1475.64446666667,3.01546666666667,3.44613333333333,51.9647333333333,0.0251333333333333,0.0682,0.8,0.6032,11,8.2924,0.0665333333333333,0.0501333333333333,0.698733333333333,0.526733333333333,0,0,0,0,0,0,0,0,37.96,2,0,35.71,0,2,0,1,0,-3.89996666666667,1,-22.5095,1,1,0,2,1,3,98.29257,-0.864230000000006,-4.77163
"EST",202007,2017.48387096774,2.41935483870968,1.81564516129032,69,0,0,1520.86283870968,1.82390322580645,1.3688064516129,52.015,0,0,1.48387096774194,1.11883870967742,3.2258064516129,2.43174193548387,0.128774193548387,0.0970645161290323,0.0965806451612903,0.0728064516129032,0,0,0,0,0,0,0,0,34.8312903225806,2,0,33.6990322580645,0,2,0,1,0,0.147451612903226,1,-27.2119677419355,1,0,0,2,1,1.87096774193548,98.23724,-0.0553299999999979,-4.82696
"EST",202008,2209.06451612903,10.0322580645161,9.62209677419355,63.4516129032258,-0.161290322580645,-0.161225806451613,1665.28422580645,7.56283870967742,7.25358064516129,47.8324838709677,-0.12158064516129,-0.121483870967742,0.838709677419355,0.632387096774194,8.67741935483871,6.54151612903226,0.0321935483870968,0.024258064516129,0.804935483870968,0.606838709677419,0,0,0,0,0,0,0,0,32.41,2,0.387096774193548,33.521935483871,0,2,0,1,0,-0.631354838709677,1,-26.5437419354839,1,0,0,2,1,1,98.48578,0.248540000000006,-4.57841999999999
"EST",202009,2799.56666666667,33.2,29.1810666666667,64,0,0,2110.4292,25.0275,21.9978666666667,48.246,0,0,1.93333333333333,1.45753333333333,19.8,14.9261,0.232866666666667,0.175533333333333,2.2625,1.70556666666667,0,0,0,0,0,0,0,0,33.9853333333333,2,1,36.3843333333333,0,2,0,1,0,-4.4,1,-15.7808666666667,1.56666666666667,0,0,2,1,1,98.60732,0.121539999999996,-4.45688
"EST",202010,4058.03225806452,49.4838709677419,44.8341612903226,69.3870967741936,0.290322580645161,0.290483870967742,3059.11267741935,37.3029032258065,33.7977419354839,52.3066451612903,0.218903225806452,0.218774193548387,3.67741935483871,2.77222580645161,35.0645161290323,26.433,0.450806451612903,0.339838709677419,2.76909677419355,2.08745161290323,0,0,0,0,0,0,0,0,35.19,2,1,36.2109677419355,0,2,0,1,0,-9.49303225806452,1,-11.4746451612903,1.61290322580645,0,0,2,1,1,98.22876,-0.378560000000007,-4.83544000000001
"EST",202011,8066.5,246.766666666667,222.833366666667,85.1333333333333,1.5,1.05723333333333,6080.86156666667,186.022966666667,167.9809,64.1769,1.13083333333333,0.796933333333333,11.9333333333333,8.9958,118.066666666667,89.0035333333333,1.1645,0.8779,15.1388333333333,11.4123333333333,0,0,0,0,0,0,0,0,39.355,2,1,38.9273333333333,0,2,0,1,0,-19.1904333333333,1,-11.2095,1.63333333333333,0,0,2,1,2.5,97.37735,-0.851409999999987,-5.68684999999999
"EST",202012,19771.3870967742,505.870967741935,476.046064516129,165.774193548387,3.58064516129032,3.52993548387097,14904.4898387097,381.346548387097,358.863258064516,124.967451612903,2.69938709677419,2.66112903225806,31.258064516129,23.5635806451613,333.032258064516,251.053483870968,2.67248387096774,2.01464516129032,27.9808387096774,21.0930967741935,191.677419354839,0,73.7096774193548,57.9677419354839,0.0145161290322581,0.0145161290322581,0,43.7096774193548,50.8096774193548,2,1,45.7951612903226,0.161290322580645,2,0,2.16129032258065,0,-28.7603548387097,1.64516129032258,-26.5713548387097,2,0,0,2,1.64516129032258,4,97.15765,-0.219700000000003,-5.90655
"EST",202101,36375.6451612903,523.161290322581,534.041516129032,323.774193548387,6.12903225806452,6.07835483870968,27421.4668064516,394.380580645161,402.582548387097,244.074387096774,4.62032258064516,4.5821935483871,43.5806451612903,32.8528709677419,417.483870967742,314.716612903226,4.862,3.6651935483871,44.4345161290323,33.4965806451613,16322.4193548387,2071.93548387097,1163.70967741935,1062.29032258065,1.38677419354839,1.23129032258065,0.156129032258065,800.774193548387,49.1035483870968,2,1,45.9122580645161,1.70967741935484,2,0,2.2258064516129,0,-35.3732258064516,2,-28.3594516129032,2,0,0,2,1.54838709677419,4,97.2212,0.0635499999999922,-5.843
"EST",202102,53413.5,764,686.520464285714,501.214285714286,6.07142857142857,5.852,40265.3068928571,575.934821428571,517.527535714286,377.836035714286,4.57689285714286,4.41157142857143,36.3571428571429,27.4073928571429,487.107142857143,367.201571428571,3.52925,2.6605,46.8781428571429,35.3387142857143,51042.25,22936.7857142857,2649,2494.64285714286,5.57642857142857,3.84857142857143,1.73,1880.60714285714,41.7357142857143,2,1,43.8021428571429,2,2,0,1,0,-31.8520357142857,2,-18.8724285714286,2,0,0,2,1,2.14285714285714,97.3455,0.124300000000005,-5.7187
"EST",202103,87517.7741935484,1316.90322580645,1344.06919354839,742.612903225806,10.0967741935484,9.78345161290323,65974.5203225806,992.736161290323,1013.21493548387,559.81235483871,7.61145161290323,7.37512903225806,64.5483870967742,48.6593225806452,670.870967741935,505.73035483871,6.43977419354839,4.85454838709677,68.8734193548387,51.9196451612903,144198.258064516,52289.2258064516,4973.41935483871,4920.96774193548,14.8125806451613,10.8706451612903,3.94129032258065,3709.67741935484,55.7945161290323,1.48387096774194,1.7741935483871,58.0351612903226,2.7741935483871,2,0,1.83870967741935,0.67741935483871,-39.2765161290323,2.67741935483871,-30.8894516129032,2,1.54838709677419,0,2,1.67741935483871,3.35483870967742,97.3042,-0.0413000000000068,-5.76000000000001
"EST",202104,115740.3,519.833333333333,580.433333333333,1056.2,8.63333333333333,9.29526666666667,87249.8283333333,391.8719,437.554633333333,796.207233333333,6.5082,7.0071,62.2,46.8889333333333,514.5,387.851433333333,4.4585,3.36096666666667,46.5478333333333,35.0896666666667,275330.866666667,85206.3,6417.53333333333,5734.53333333333,27.1783333333333,20.7566666666667,6.42333333333333,4322.86666666667,52.5916666666667,1,2,61.43,3,2,0,2,1,-32.3,3,-30.4143333333333,2,2,0,2,2,4,97.33958,0.0353800000000035,-5.72462
"FIN",202002,1.17241379310345,0.0689655172413793,0.0345172413793103,0,0,0,0.211172413793103,0.0124137931034483,0.00627586206896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0279310344828,0.137931034482759,0.0689655172413793,8.94965517241379,0,0,0,0,0,-6.09615384615385,0,-9.44530769230769,0,0,0,1.10344827586207,0,0,98.2103,0,0
"FIN",202003,431.677419354839,45.6451612903226,37.069064516129,2.2258064516129,0.548387096774194,0.29958064516129,77.910064516129,8.23809677419355,6.69029032258064,0.40158064516129,0.0989677419354839,0.0540645161290323,8.2258064516129,1.48464516129032,26.1935483870968,4.72748387096774,0,0,0,0,0,0,0,0,0,0,0,0,45.0987096774194,1,1,38.478064516129,0,0,0,0.903225806451613,0.516129032258065,-26.4977096774194,0.645161290322581,-18.9308709677419,0,1.03225806451613,0.67741935483871,2,1.29032258064516,2.19354838709677,97.40617,-0.804130000000001,-0.804130000000001
